street,delta_s,Delta_s,sigma_s,Sigma_s,ratio_demand,ratio_supply,raw_gap,m_i,weight_eta,W_FPG
新场镇,236.0,466,5.0,44.0,0.5064377682403434,0.11363636363636363,0.3928014046039797,0.3928014046039797,0.031886443116513306,0.012525039643991327
新成路街道,63.0,115,21.0,43.0,0.5478260869565217,0.4883720930232558,0.05945399393326589,0.05945399393326589,0.007817321538241972,0.000464770987309027
新桥镇,1558.0,1788,95.0,230.0,0.8713646532438478,0.41304347826086957,0.45832117498297825,0.45832117498297825,0.12253994376174038,0.05616265100722893
新江湾城街道,1150.0,1204,26.0,339.0,0.9551495016611296,0.07669616519174041,0.8784533364693892,0.8784533364693892,0.08249331412723765,0.07246652703148931
新河镇,1.0,64,2.0,4.0,0.015625,0.5,-0.484375,0.484375,0.004320098744817932,-0.002092547829521186
新泾镇,645.0,702,14.0,50.0,0.9188034188034188,0.28,0.6388034188034187,0.6388034188034187,0.04806967016059318,0.030707069639339606
新浜镇,56.0,69,16.0,18.0,0.8115942028985508,0.8888888888888888,-0.07729468599033806,0.07729468599033806,0.004662963724565387,-0.00036042231687461883
新虹街道,13960.0,14584,281.0,505.0,0.9572133845309929,0.5564356435643565,0.40077774096663643,0.40077774096663643,0.999999999931427,0.40077774093915386
方松街道,370.0,412,35.0,180.0,0.8980582524271845,0.19444444444444445,0.7036138079827401,0.7036138079827401,0.028183501335240793,0.019830300696775414
曹家渡街道,64.0,68,1.0,11.0,0.9411764705882353,0.09090909090909091,0.8502673796791443,0.8502673796791443,0.004594390728615895,0.003906460566042392
曹路镇,1887.0,2136,108.0,287.0,0.8834269662921348,0.37630662020905925,0.5071203460830755,0.5071203460830755,0.14640334635216323,0.0742441156698294
月浦镇,0.0,238,34.0,149.0,0.0,0.22818791946308725,-0.22818791946308725,0.22818791946308725,0.016251800040029362,-0.0037084644386644184
朱家角镇,303.0,357,53.0,66.0,0.8487394957983193,0.803030303030303,0.04570919276801633,0.04570919276801633,0.02441198655801879,0.0011158521994307042
朱泾镇,113.0,161,17.0,50.0,0.7018633540372671,0.34,0.36186335403726705,0.36186335403726705,0.010971679351918557,0.003970248689706677
杨行镇,7884.0,8630,455.0,842.0,0.9135573580533024,0.5403800475059383,0.37317731054736414,0.37317731054736414,0.5917163820481577,0.22081512805954812
松江工业区,253.0,273,11.0,23.0,0.9267399267399268,0.4782608695652174,0.4484790571747094,0.4484790571747094,0.018651854898261547,0.008364966299331823
枫泾镇,126.0,182,17.0,58.0,0.6923076923076923,0.29310344827586204,0.39920424403183025,0.39920424403183025,0.012411712266857867,0.004954808212631589
柘林镇,226.0,429,8.0,72.0,0.5268065268065268,0.1111111111111111,0.41569541569541574,0.41569541569541574,0.02934924226638214,0.012200345464269189
桃浦镇,674.0,790,53.0,292.0,0.8531645569620253,0.1815068493150685,0.6716577076469568,0.6716577076469568,0.054104093804148386,0.036339431618810224
梅陇镇,3104.0,3492,82.0,194.0,0.8888888888888888,0.422680412371134,0.4662084765177548,0.4662084765177548,0.239388328859673,0.11160486809379944
横沙乡,0.0,1,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
殷行街道,232.0,264,16.0,22.0,0.8787878787878788,0.7272727272727273,0.1515151515151515,0.1515151515151515,0.01803469793471613,0.002732529990108504
永丰街道,391.0,606,42.0,103.0,0.6452145214521452,0.4077669902912621,0.23744753116088307,0.23744753116088307,0.04148666254944204,0.00985090559846968
江川路街道,605.0,779,38.0,179.0,0.7766367137355584,0.2122905027932961,0.5643462109422623,0.5643462109422623,0.05334979084870398,0.030107752320028276
