station_id,D_i,Event_Count,D_norm,A_i,CACL,Quad,Color
11381,224.07999999999998,4,0.0030195001768184623,0.0495232638794004,0.01222847104263149,Q3,#7f7f7f
11382,6395.4,155,0.0873757782718991,0.11271093305723089,0.09923812521217573,Q3,#7f7f7f
11383,39931.87,49,0.5457885310779972,0.06723324204371717,0.19155973589105785,Q4,#d62728
11384,1727.45,8,0.02356918773147474,0.030586291167499193,0.026849469986134477,Q3,#7f7f7f
11385,3305.45,15,0.04513899886329699,0.09562590842716291,0.06569975473162323,Q3,#7f7f7f
11388,1121.32,9,0.015283947160288797,0.09555550690389436,0.038216034833479684,Q3,#7f7f7f
11390,6966.32,26,0.09517973047175966,0.07892988855365796,0.08667482632635148,Q3,#7f7f7f
11393,7827.32,29,0.10694880992961704,0.07209113587012433,0.08780695409695137,Q3,#7f7f7f
11397,19915.620000000003,14,0.2721847718464782,0.009654863421829717,0.0512631134216371,Q3,#7f7f7f
11399,6976.42,112,0.09531778819826879,0.09994458494242774,0.09760377441014365,Q3,#7f7f7f
11403,33892.979999999996,25,0.463242449490006,0.12273861380715788,0.23844860265272197,Q4,#d62728
11405,4267.7699999999995,8,0.05829302969243207,0.08129448939969863,0.06883968393599535,Q3,#7f7f7f
11406,14754.869999999999,5,0.20164205777895491,0.034324222742905246,0.08319379126799438,Q3,#7f7f7f
11409,39559.79,42,0.5407025391097282,0.013111156107344245,0.08419759734045297,Q4,#d62728
11410,36067.39,543,0.49296463771760146,0.10729491184028779,0.22998390670716387,Q4,#d62728
11411,1855.8,47,0.02532361438468728,0.10277530105825206,0.05101609640367751,Q3,#7f7f7f
11413,165.62,6,0.002220405652885428,0.003413934273609682,0.0027532379046682916,Q3,#7f7f7f
11414,28.98,1,0.00035266231128074397,0.003615033640073773,0.001129108550523845,Q3,#7f7f7f
11415,49896.21,36,0.6819919099457169,0.03255325096588954,0.14900018054072706,Q4,#d62728
11416,3426.62,86,0.046795281508951556,0.049063036487909814,0.04791574484588235,Q3,#7f7f7f
11419,1856.52,6,0.02533345612360674,0.04885315771889386,0.03517981420603636,Q3,#7f7f7f
11427,621.75,13,0.008455283949183325,0.20515462096957063,0.04164901648040202,Q3,#7f7f7f
11428,4115.68,13,0.056214099036513934,0.035847648767945446,0.044890347270515205,Q3,#7f7f7f
11429,13079.58,337,0.1787423816756403,0.08348112595386648,0.1221540636980948,Q3,#7f7f7f
11431,25835.18,265,0.3530997218993867,0.11257281660778534,0.1993725914905047,Q4,#d62728
11433,9176.710000000001,186,0.1253937322636916,0.11069781556273757,0.11781685892455897,Q3,#7f7f7f
11434,18596.11,13,0.2541482816775613,0.1909929569158202,0.2203191589777707,Q3,#7f7f7f
11437,103.32,1,0.0013688218547152594,0.046834904706013966,0.008006787191195883,Q3,#7f7f7f
11442,14239.899999999998,36,0.1946028907076276,0.11571347735235399,0.15006057838952802,Q3,#7f7f7f
11444,19629.74,168,0.2682770547321782,0.10129634541674082,0.16484988687753657,Q3,#7f7f7f
11446,2086.22,10,0.02847324422055197,0.010990067950703853,0.017689626586246867,Q3,#7f7f7f
11449,35484.29,494,0.48499419610102,0.08149423601529385,0.19880702070878742,Q4,#d62728
11452,84.66000000000001,1,0.0011137567877191868,0.12180313889068185,0.011647277480381404,Q3,#7f7f7f
11453,1739.67,9,0.023736223911468957,0.08943713034333861,0.046074936265053254,Q3,#7f7f7f
11454,104.52,1,0.0013852247529143639,0.06376243412323163,0.00939815418332621,Q3,#7f7f7f
11455,17106.899999999998,17,0.23379214832165446,0.06288662748787768,0.1212534524914426,Q3,#7f7f7f
11457,3605.67,11,0.04924273061107625,0.08222961423361076,0.063633409007835,Q3,#7f7f7f
11459,1001.87,3,0.013651175335386286,0.08067536673826865,0.03318604490732055,Q3,#7f7f7f
11461,52083.71,43,0.7118930264545009,0.006788512203701861,0.06951758409076535,Q4,#d62728
11466,8057.5,25,0.11009515918584191,0.02216484695370825,0.04939880923360737,Q3,#7f7f7f
11467,74270.37,76,1.0,0.012529868165065386,0.11193689367257512,Q4,#d62728
11468,383.06,1,0.0051926108065631395,0.05122508623437307,0.016309259221305373,Q3,#7f7f7f
11469,306.78999999999996,1,0.004150069935191731,0.12519442810548873,0.022793982366714934,Q3,#7f7f7f
11473,2951.01,8,0.04029412949855487,0.03193779498737049,0.03587346717449267,Q3,#7f7f7f
11474,40000.75,45,0.5467300574346258,0.004300433442950218,0.04848892887307327,Q4,#d62728
11475,1171.8400000000001,6,0.015974509174471095,0.10274616341873472,0.04051320192448733,Q3,#7f7f7f
11478,149.8,2,0.002004160778293902,0.09422081973575325,0.01374167644114417,Q3,#7f7f7f
