station_id,Time_Window,vehicleposition_longitude,vehicleposition_latitude,W_FPG,abs_w_fpg,delta_s,Delta_s,Sigma_s
10816,Whole_Day,121.25098148148147,31.118986111111113,0.000991857883049593,0.000991857883049593,201.0,216,1.0
10820,Whole_Day,121.615,31.294142857142855,0.0,0.0,0.0,7,1.0
10822,Whole_Day,121.64414285714285,31.303285714285714,0.0,0.0,0.0,7,4.0
10823,Whole_Day,121.619,31.302,-4.934616333580061e-06,4.934616333580061e-06,12.0,13,25.0
10827,Whole_Day,121.637,31.28,-9.869232667160129e-06,9.869232667160129e-06,0.0,2,2.0
10828,Whole_Day,121.271,31.384,-2.467308166790032e-06,2.467308166790032e-06,0.0,11,22.0
10830,Whole_Day,121.49399999999999,31.1205,0.0,0.0,18.0,18,6.0
10834,Whole_Day,121.495,31.122999999999998,-0.00015297310634098207,0.00015297310634098207,650.0,681,6.0
10849,Whole_Day,121.61200000000001,31.219000000000005,0.0,0.0,0.0,3,22.0
10852,Whole_Day,121.341,31.347,-8.972029697418299e-07,8.972029697418299e-07,0.0,2,11.0
10853,Whole_Day,121.34171428571427,31.346,-3.140210394096405e-06,3.140210394096405e-06,0.0,7,11.0
10854,Whole_Day,121.346,31.35,-4.4860148487091495e-07,4.4860148487091495e-07,0.0,1,11.0
10856,Whole_Day,121.34392857142856,31.343357142857144,-6.28042078819281e-06,6.28042078819281e-06,0.0,14,11.0
10857,Whole_Day,121.24225,31.39275,-9.869232667160129e-06,9.869232667160129e-06,0.0,4,16.0
10861,Whole_Day,121.66008759124088,31.28661313868613,0.0005230693313594869,0.0005230693313594869,106.0,137,78.0
10862,Whole_Day,121.66313636363635,31.277,-0.00010856155933876142,0.00010856155933876142,0.0,22,2.0
10863,Whole_Day,121.6285576923077,31.179,0.00023686158401184308,0.00023686158401184308,48.0,52,1.0
10865,Whole_Day,121.623,31.158,0.0,0.0,1.0,1,12.0
10868,Whole_Day,121.62332548557976,31.159,-0.0008487540093757713,0.0008487540093757713,1527.0,1699,12.0
10872,Whole_Day,121.25,31.123,0.00021218850234394276,0.00021218850234394276,43.0,44,1.0
10878,Whole_Day,121.214,31.277,2.9607698001480386e-05,2.9607698001480386e-05,6.0,6,1.0
10880,Whole_Day,121.2559971590909,31.11732954545454,0.0009425117197137923,0.0009425117197137923,323.0,352,16.0
10881,Whole_Day,121.257,31.117481481481484,7.340241796200345e-05,7.340241796200345e-05,25.0,27,16.0
10883,Whole_Day,121.2246,31.26802,-0.0002467308166790032,0.0002467308166790032,0.0,50,20.0
10889,Whole_Day,121.22983333333333,31.187,0.0,0.0,0.0,6,6.0
10890,Whole_Day,121.244,31.183,0.0,0.0,0.0,1,1.0
10892,Whole_Day,121.234,31.185,0.0,0.0,0.0,1,6.0
10895,Whole_Day,121.253,31.172999999999995,0.0,0.0,0.0,9,4.0
10900,Whole_Day,121.60687301587302,31.293349206349205,0.0,0.0,63.0,63,8.0
10903,Whole_Day,121.606,31.295,0.0,0.0,1.0,1,8.0
10904,Whole_Day,121.48899999999999,31.085333333333335,0.0,0.0,0.0,3,5.0
10905,Whole_Day,121.50386956521739,31.091,-1.9738465334320267e-05,1.9738465334320267e-05,111.0,115,2.0
10908,Whole_Day,121.64927314285714,31.22200342857143,-0.00014310387367382185,0.00014310387367382185,846.0,875,4.0
10910,Whole_Day,121.644,31.214,-3.94769306686405e-05,3.94769306686405e-05,95.0,103,1.0
10912,Whole_Day,121.646,31.213,-1.480384900074018e-05,1.480384900074018e-05,121.0,124,1.0
10914,Whole_Day,121.647,31.213,-9.869232667160122e-06,9.869232667160122e-06,49.0,51,1.0
10915,Whole_Day,121.62442060085836,31.20788841201717,0.0010461386627189735,0.0010461386627189735,212.0,233,6.0
10916,Whole_Day,121.64647058823527,31.2405294117647,-8.388847767086108e-05,8.388847767086108e-05,0.0,17,1.0
10922,Whole_Day,121.354,31.352,0.0,0.0,0.0,3,3.0
10929,Whole_Day,121.6949138090825,31.243966635773862,-0.0002566000493461636,0.0002566000493461636,1027.0,1079,26.0
10936,Whole_Day,121.63011718749999,31.1831875,0.0005625462620281273,0.0005625462620281273,114.0,128,1.0
10937,Whole_Day,121.65155555555556,31.170499999999997,0.0,0.0,0.0,18,1.0
10938,Whole_Day,121.63512571428572,31.107577142857142,0.0007648655317049099,0.0007648655317049099,155.0,175,6.0
10939,Whole_Day,121.621,31.106000000000005,7.401924500370096e-06,7.401924500370096e-06,3.0,3,16.0
10940,Whole_Day,121.628,31.12,-1.7623629762785944e-06,1.7623629762785944e-06,0.0,4,56.0
10945,Whole_Day,121.66000000000001,31.28,0.0,0.0,0.0,3,78.0
10946,Whole_Day,121.224,31.184,0.0,0.0,0.0,2,9.0
10948,Whole_Day,121.669,31.274,-3.454231433506045e-05,3.454231433506045e-05,0.0,7,7.0
10949,Whole_Day,121.66500729927007,31.27477372262774,-2.960769800148035e-05,2.960769800148035e-05,131.0,137,5.0
10950,Whole_Day,121.67,31.273000000000003,-5.4280779669380736e-05,5.4280779669380736e-05,276.0,287,7.0
10952,Whole_Day,121.25666666666666,31.174666666666667,9.869232667160129e-06,9.869232667160129e-06,2.0,3,4.0
10956,Whole_Day,121.659,31.221500000000002,-2.9607698001480386e-05,2.9607698001480386e-05,0.0,6,4.0
10959,Whole_Day,121.64876923076922,31.21117948717949,-3.947693066864053e-05,3.947693066864053e-05,31.0,39,8.0
10960,Whole_Day,121.49299999999998,31.083,0.00040463853935356525,0.00040463853935356525,82.0,85,5.0
10966,Whole_Day,121.66421904761906,31.11127619047619,0.0004095731556871453,0.0004095731556871453,83.0,105,1.0
10967,Whole_Day,121.66387096774193,31.112989247311827,0.0008832963237108316,0.0008832963237108316,179.0,186,1.0
10971,Whole_Day,121.53872580645161,31.331709677419354,0.0002467308166790032,0.0002467308166790032,50.0,62,1.0
10973,Whole_Day,121.316,31.335,0.0004095731556871453,0.0004095731556871453,83.0,87,1.0
10975,Whole_Day,121.259,31.388,-5.921539600296077e-05,5.921539600296077e-05,0.0,12,12.0
10978,Whole_Day,121.21133333333334,31.387555555555554,0.0,0.0,0.0,18,20.0
10981,Whole_Day,121.218,31.388,-1.776461880088823e-05,1.776461880088823e-05,0.0,9,15.0
10982,Whole_Day,121.22,31.12822222222222,4.441154700222058e-05,4.441154700222058e-05,9.0,9,6.0
10983,Whole_Day,121.221,31.128134020618557,0.0004539847026893659,0.0004539847026893659,92.0,97,6.0
10985,Whole_Day,121.257,31.121,5.921539600296077e-05,5.921539600296077e-05,12.0,13,6.0
10990,Whole_Day,121.21,31.125,0.0,0.0,0.0,1,9.0
10995,Whole_Day,121.21,31.128,0.0,0.0,0.0,2,9.0
10996,Whole_Day,121.613,31.111,0.0,0.0,1.0,1,2.0
10999,Whole_Day,121.61,31.12,-3.9476930668640514e-05,3.9476930668640514e-05,0.0,8,2.0
11000,Whole_Day,121.607,31.104000000000003,0.0,0.0,17.0,17,2.0
11001,Whole_Day,121.629,31.123,-9.86923266716013e-06,9.86923266716013e-06,1.0,3,20.0
11002,Whole_Day,121.60499999999999,31.105,2.467308166790032e-05,2.467308166790032e-05,5.0,5,3.0
11004,Whole_Day,121.63833333333335,31.129,-0.0001776461880088823,0.0001776461880088823,0.0,36,20.0
11005,Whole_Day,121.60420560747663,31.10402336448598,0.0010017271157167532,0.0010017271157167532,203.0,214,3.0
11007,Whole_Day,121.67313105924597,31.26666068222621,0.0025363927954601528,0.0025363927954601528,514.0,557,4.0
11008,Whole_Day,121.675,31.261,1.4803849000740193e-05,1.4803849000740193e-05,3.0,3,4.0
11009,Whole_Day,121.6962105263158,31.26215789473684,0.0,0.0,0.0,19,6.0
11015,Whole_Day,121.6579090909091,31.205636363636362,4.934616333580064e-06,4.934616333580064e-06,1.0,11,9.0
11021,Whole_Day,121.222,31.3185,0.0,0.0,4.0,4,6.0
11022,Whole_Day,121.223,31.318,-3.947693066864051e-05,3.947693066864051e-05,75.0,83,6.0
11025,Whole_Day,121.503,31.085999999999995,1.6119746689694876e-05,1.6119746689694876e-05,7.0,7,15.0
11028,Whole_Day,121.66400000000002,31.134000000000004,-4.9346163335800626e-06,4.9346163335800626e-06,4.0,5,1.0
11029,Whole_Day,121.66300000000001,31.134000000000004,-3.454231433506046e-05,3.454231433506046e-05,151.0,158,1.0
11032,Whole_Day,121.49849999999999,31.137800000000006,2.8374043918085365e-05,2.8374043918085365e-05,7.0,10,8.0
11033,Whole_Day,121.613,31.251011363636362,0.0001927790114318612,0.0001927790114318612,86.0,88,15.0
11034,Whole_Day,121.254,31.084000000000003,0.0002220577350111029,0.0002220577350111029,45.0,47,39.0
