station_id,delta_s,Delta_s,sigma_s,Sigma_s,ratio_demand,ratio_supply,W_FPG
10276,0.0,19,2.0,2.0,0.0,1.0,-9.375771033802122e-05
10277,0.0,7,0.0,4.0,0.0,0.0,0.0
10279,0.0,5,0.0,8.0,0.0,0.0,0.0
10281,0.0,14,24.0,24.0,0.0,1.0,-6.90846286701209e-05
10283,12.0,51,0.0,4.0,0.23529411764705882,0.0,5.921539600296077e-05
10284,0.0,3,0.0,27.0,0.0,0.0,0.0
10288,0.0,5,3.0,12.0,0.0,0.25,-6.16827041697508e-06
10290,0.0,9,8.0,8.0,0.0,1.0,-4.441154700222058e-05
10291,0.0,8,15.0,15.0,0.0,1.0,-3.9476930668640514e-05
10293,1.0,3,0.0,40.0,0.3333333333333333,0.0,4.934616333580064e-06
10295,42.0,59,24.0,24.0,0.711864406779661,1.0,-8.38884776708611e-05
10296,36.0,53,8.0,8.0,0.6792452830188679,1.0,-8.38884776708611e-05
10301,0.0,13,23.0,23.0,0.0,1.0,-6.415001233654083e-05
10304,0.0,5,2.0,2.0,0.0,1.0,-2.467308166790032e-05
10305,0.0,2,1.0,1.0,0.0,1.0,-9.869232667160129e-06
10309,0.0,5,2.0,2.0,0.0,1.0,-2.467308166790032e-05
10310,2.0,3,0.0,8.0,0.6666666666666666,0.0,9.869232667160129e-06
10312,0.0,20,0.0,6.0,0.0,0.0,0.0
10313,0.0,17,0.0,27.0,0.0,0.0,0.0
10314,0.0,25,0.0,3.0,0.0,0.0,0.0
10317,0.0,15,1.0,1.0,0.0,1.0,-7.401924500370096e-05
10318,88.0,104,0.0,3.0,0.8461538461538461,0.0,0.0004342462373550456
10319,0.0,40,8.0,16.0,0.0,0.5,-9.869232667160128e-05
10320,0.0,1,9.0,9.0,0.0,1.0,-4.934616333580064e-06
10321,0.0,23,3.0,12.0,0.0,0.25,-2.8374043918085368e-05
10323,2.0,2,6.0,15.0,1.0,0.4,5.921539600296077e-06
10324,27.0,29,6.0,15.0,0.9310344827586207,0.4,7.599309153713298e-05
10330,0.0,43,0.0,6.0,0.0,0.0,0.0
10333,2.0,2,4.0,4.0,1.0,1.0,0.0
10335,0.0,23,8.0,8.0,0.0,1.0,-0.00011349617567234147
10343,32.0,34,1.0,1.0,0.9411764705882353,1.0,-9.86923266716013e-06
10344,4.0,4,1.0,1.0,1.0,1.0,0.0
10345,10.0,32,8.0,16.0,0.3125,0.5,-2.9607698001480386e-05
10346,0.0,18,0.0,3.0,0.0,0.0,0.0
10348,0.0,9,6.0,6.0,0.0,1.0,-4.441154700222058e-05
10349,0.0,9,9.0,9.0,0.0,1.0,-4.441154700222058e-05
10350,1.0,1,0.0,8.0,1.0,0.0,4.934616333580064e-06
10351,175.0,183,8.0,8.0,0.9562841530054644,1.0,-3.9476930668640555e-05
10354,0.0,1,2.0,9.0,0.0,0.2222222222222222,-1.0965814074622365e-06
10357,1.0,21,0.0,1.0,0.047619047619047616,0.0,4.934616333580064e-06
10362,0.0,17,0.0,1.0,0.0,0.0,0.0
10363,0.0,35,8.0,16.0,0.0,0.5,-8.635578583765112e-05
10369,0.0,5,2.0,9.0,0.0,0.2222222222222222,-5.482907037311182e-06
10370,0.0,11,2.0,9.0,0.0,0.2222222222222222,-1.2062395482084602e-05
10374,0.0,19,2.0,9.0,0.0,0.2222222222222222,-2.0835046741782492e-05
10376,96.0,101,0.0,12.0,0.9504950495049505,0.0,0.0004737231680236861
10379,1.0,1,0.0,5.0,1.0,0.0,4.934616333580064e-06
