station_id,S_i,B_i,Total_Volume,Regime
15012,0.28271604938271605,0.3182592024548557,70,Q1
11415,0.125,0.31933318682925255,30,Q1
14347,0.8888888888888888,0.32025630761017426,33,Q1
13657,0.8677248677248677,0.32088130511170065,107,Q1
12473,0.8397435897435898,0.32217916194745183,106,Q1
14063,0.875,0.32274861218395134,36,Q1
11101,0.875,0.3227486121839514,35,Q1
10111,0.36363636363636365,0.3233348953414316,12,Q1
11732,0.8136363636363636,0.3233348953414316,13,Q1
15732,0.7222222222222222,0.32338083338177726,19,Q1
10505,0.8333333333333334,0.3256694736394648,14,Q1
11461,0.11538461538461539,0.32581259360842113,37,Q1
14420,0.8518518518518519,0.3304104656903932,55,Q1
10528,0.8481481481481481,0.3310951796045229,59,Q1
11059,0.42745098039215684,0.33143099471574616,80,Q1
15036,0.8712121212121212,0.33143398263980844,38,Q1
14907,0.88,0.33166247903553997,28,Q1
10324,0.48235294117647054,0.3321055820775357,19,Q1
10985,0.8888888888888888,0.3333333333333333,10,Q1
12419,0.1111111111111111,0.3333333333333333,9,Q1
15051,0.8888888888888888,0.3333333333333333,9,Q1
15619,0.8888888888888888,0.3333333333333333,9,Q1
11015,0.1111111111111111,0.33333333333333337,9,Q1
16485,0.1111111111111111,0.33333333333333337,9,Q1
10507,0.8653846153846154,0.3333974297349128,32,Q1
12345,0.8177777777777778,0.33465204614941774,120,Q1
15337,0.875,0.3360107525161235,42,Q1
12480,0.83681592039801,0.33770538473756645,100,Q1
15104,0.14,0.3391164991562634,34,Q1
15335,0.41344052772624196,0.3398447930436759,200,Q1
10721,0.03409090909090909,0.3415650255319866,19,Q1
15920,0.875,0.3415650255319866,20,Q1
16429,0.875,0.3415650255319866,17,Q1
15570,0.8602150537634409,0.34182726359405674,36,Q1
14845,0.8439153439153438,0.34375250520170975,90,Q1
16529,0.5166666666666667,0.35110662492890327,35,Q1
10573,0.8240740740740741,0.35231588805437314,77,Q1
12865,0.375,0.3535533905932738,8,Q1
13702,0.8333333333333334,0.3535533905932738,11,Q1
13804,0.875,0.3535533905932738,8,Q1
14710,0.875,0.3535533905932738,9,Q1
16019,0.875,0.3535533905932738,8,Q1
16552,0.875,0.3535533905932738,10,Q1
14947,0.7387387387387387,0.35473112000617335,68,Q1
10509,0.8571428571428571,0.35634832254989923,29,Q1
15599,0.8452380952380952,0.35763612857844224,59,Q1
11121,0.8409090909090909,0.35811555850975424,23,Q1
11126,0.8571428571428571,0.36313651960128146,14,Q1
11342,0.8036458333333333,0.36395666096144064,100,Q1
14734,0.8484848484848485,0.36410954062720957,36,Q1
14213,0.828125,0.372640426009812,42,Q1
10388,0.20170940170940171,0.3768869653826775,62,Q1
12979,0.8571428571428571,0.37796447300922725,8,Q1
13046,0.5238095238095238,0.37796447300922725,9,Q1
13551,0.8571428571428571,0.37796447300922725,7,Q1
13734,0.8571428571428571,0.37796447300922725,7,Q1
15178,0.8571428571428571,0.37796447300922725,7,Q1
11506,0.46666666666666673,0.380058475033046,67,Q1
16055,0.7818181818181819,0.3820465887291705,90,Q1
10436,0.7598396501457725,0.38432625360430045,177,Q1
10053,0.7191208198489751,0.3845219134694697,300,Q1
11179,0.743781512605042,0.3858353604167417,135,Q1
15949,0.6057692307692307,0.3860007311362776,75,Q1
13562,0.774390243902439,0.3865103412619629,51,Q1
12151,0.7385057471264368,0.38686528786885804,39,Q1
15464,0.16666666666666666,0.3892494720807615,12,Q1
11231,0.4235294117647058,0.39295262399668784,17,Q1
16036,0.7857142857142857,0.3933978962347216,8,Q1
13380,0.8095238095238095,0.40237390808147827,22,Q1
11956,0.8125,0.4031128874149275,17,Q1
10575,0.7280952380952381,0.4043497678490793,110,Q1
14880,0.8181818181818182,0.40451991747794525,11,Q1
15034,0.18181818181818182,0.40451991747794525,11,Q1
10565,0.16666666666666666,0.408248290463863,6,Q1
12051,0.8333333333333334,0.408248290463863,6,Q1
14495,0.5833333333333334,0.408248290463863,6,Q1
14793,0.8333333333333334,0.408248290463863,7,Q1
14838,0.16666666666666666,0.408248290463863,6,Q1
16618,0.8333333333333334,0.408248290463863,6,Q1
14596,0.5456349206349207,0.4190408549237629,33,Q1
10971,0.7804878048780488,0.4190581774617469,52,Q1
14512,0.7246376811594203,0.41926069989349896,31,Q1
13563,0.8,0.4216370213557839,11,Q1
13750,0.25,0.42491829279939874,13,Q1
16047,0.6704545454545454,0.426039747092791,68,Q1
16030,0.46895424836601307,0.43235812840544247,80,Q1
10283,0.25609756097560976,0.43476935292624114,44,Q1
11032,0.6527777777777778,0.44095855184409843,9,Q1
15141,0.2222222222222222,0.44095855184409843,11,Q1
12545,0.8,0.4472135954999579,5,Q1
15201,0.8,0.4472135954999579,5,Q1
14717,0.2,0.447213595499958,5,Q1
14811,0.4,0.447213595499958,5,Q1
15597,0.75,0.44721359549995804,18,Q1
15202,0.25,0.46291004988627577,8,Q1
10689,0.21428571428571427,0.4688072309384954,15,Q1
10688,0.7058823529411765,0.46966821831386213,20,Q1
13811,0.66,0.4725815626252608,29,Q1
10640,0.15789473684210525,0.47295265146345866,20,Q1
16743,0.6606060606060606,0.4735424207422439,63,Q1
10737,0.45679012345679015,0.4794775303608338,33,Q1
14680,0.5294117647058824,0.48317272517490184,20,Q1
15121,0.5,0.48666426339228763,22,Q1
11594,0.4920634920634921,0.48795003647426655,7,Q1
12579,0.40625,0.4905354217587146,17,Q1
15041,0.41304347826086957,0.49203136247609164,30,Q1
15024,0.625,0.4945353550468402,26,Q1
12461,0.5,0.5,19,Q1
15754,0.7045454545454546,0.5,4,Q1
10714,0.6363636363636364,0.504524979109513,11,Q1
10158,0.5714285714285714,0.50709255283711,24,Q1
12471,0.1,0.5163977794943222,10,Q1
13019,0.13333333333333333,0.5163977794943223,6,Q1
15221,0.6666666666666666,0.5163977794943223,6,Q1
15441,0.1527777777777778,0.5175491695067657,8,Q1
15794,0.4027777777777778,0.5175491695067657,8,Q1
